,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,2.02794981,20221117111712639,None,14,22,24,22,24,23,35,39,42
1,0,2.037932158,20221117111712649,None,14,22,24,22,24,23,35,39,42
2,0,2.04791379,20221117111712659,None,14,22,24,22,24,23,35,39,42
3,0,2.057913542,20221117111712669,None,14,23,24,25,22,25,36,40,41
4,0,2.067908287,20221117111712679,None,14,23,24,25,22,25,36,40,41
5,0,2.077895165,20221117111712689,None,14,21,25,25,22,26,37,38,41
6,0,2.087893963,20221117111712699,None,14,22,24,25,23,26,41,40,43
7,0,2.097890377,20221117111712709,None,14,22,24,25,23,26,41,40,43
8,0,2.107938767,20221117111712719,None,14,22,24,25,23,26,41,40,43
9,0,2.117914677,20221117111712729,None,14,20,26,23,20,26,41,34,43
10,0,2.127912522,20221117111712739,None,14,20,26,23,20,26,41,34,43
11,0,2.137909651,20221117111712749,None,14,19,24,23,20,29,42,34,38
12,0,2.147903681,20221117111712759,None,14,19,24,23,20,29,42,34,38
13,0,2.157933474,20221117111712769,None,14,19,23,22,24,30,43,35,52
14,0,2.167925358,20221117111712779,None,14,19,23,22,24,30,43,35,52
15,0,2.177921057,20221117111712789,None,14,19,23,21,24,32,43,35,53
16,0,2.187924147,20221117111712799,None,14,19,23,21,24,32,43,35,53
17,0,2.197901249,20221117111712809,None,14,19,23,22,25,30,37,33,51
18,0,2.207906247,20221117111712819,None,14,19,23,22,25,30,37,33,51
19,0,2.217931271,20221117111712829,None,14,21,21,25,29,33,38,35,51
20,0,2.227934361,20221117111712839,None,14,21,21,25,29,33,38,35,51
21,0,2.237918854,20221117111712849,None,14,21,21,25,28,29,36,33,46
22,0,2.247900725,20221117111712859,None,14,21,21,25,28,29,36,33,46
23,0,2.257891655,20221117111712869,None,14,20,24,24,25,31,35,31,29
24,0,2.267941714,20221117111712879,None,14,20,24,24,25,31,35,31,29
25,0,2.277934075,20221117111712889,None,14,22,23,25,28,30,35,32,38
26,0,2.287921429,20221117111712899,None,14,22,23,25,28,30,35,32,38
27,0,2.297905446,20221117111712909,None,14,21,24,24,29,34,35,33,39
28,0,2.307900429,20221117111712919,None,14,21,24,24,29,34,35,33,39
29,0,2.317926407,20221117111712929,None,14,22,24,24,25,31,33,33,41
30,0,2.327917338,20221117111712939,None,14,22,24,24,25,31,33,33,41
31,0,2.337910414,20221117111712949,None,14,22,22,26,25,32,36,32,41
32,0,2.347903252,20221117111712959,None,14,22,22,26,25,32,36,32,41
33,0,2.357899189,20221117111712969,None,14,22,21,28,25,30,36,35,40
34,0,2.367927075,20221117111712979,None,14,22,21,28,25,30,36,35,40
35,0,2.377928734,20221117111712989,None,14,19,20,30,22,29,32,35,33
36,0,2.38792491,20221117111712999,None,14,19,20,30,22,29,32,35,33
37,0,2.397922039,20221117111713009,None,14,20,26,30,24,29,33,35,49
38,0,2.407933712,20221117111713019,None,14,20,26,30,24,29,33,35,49
39,0,2.4179434779999998,20221117111713029,None,14,19,28,29,24,30,32,34,49
40,0,2.427925826,20221117111713039,None,14,19,28,29,24,30,32,34,49
41,0,2.437947274,20221117111713049,None,14,22,29,27,24,30,37,43,48
42,0,2.4479258059999998,20221117111713059,None,14,22,29,27,24,30,37,43,48
43,0,2.45792389,20221117111713069,None,14,21,28,25,25,35,36,44,47
44,0,2.4679107670000002,20221117111713079,None,14,21,28,25,25,35,36,44,47
45,0,2.477939606,20221117111713089,None,14,22,28,22,25,33,36,45,46
46,0,2.4879224300000002,20221117111713099,None,14,22,28,22,25,33,36,45,46
47,0,2.497943163,20221117111713109,None,14,22,23,22,23,33,40,44,43
48,0,2.507911444,20221117111713119,None,14,22,23,22,23,33,40,44,43
49,0,2.5179028519999997,20221117111713129,None,14,22,21,26,23,31,41,44,42
50,0,2.527927399,20221117111713139,None,14,22,21,26,23,31,41,44,42
51,0,2.537926197,20221117111713149,None,14,19,21,27,24,32,33,36,41
52,0,2.547931672,20221117111713159,None,14,19,21,27,24,32,33,36,41
53,0,2.557922602,20221117111713169,None,14,19,23,27,24,29,36,36,43
54,0,2.567911625,20221117111713179,None,14,19,23,27,24,29,36,36,43
55,0,2.577933073,20221117111713189,None,14,18,22,27,24,29,38,37,43
56,0,2.587932587,20221117111713199,None,14,18,22,27,24,29,38,37,43
57,0,2.5979232789999998,20221117111713209,None,14,21,22,27,24,28,33,37,37
58,0,2.607908249,20221117111713219,None,14,21,22,27,24,28,33,37,37
59,0,2.6179127700000002,20221117111713229,None,14,21,24,24,24,27,40,36,38
60,0,2.627900362,20221117111713239,None,14,21,24,24,24,27,40,36,38
