,gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,2.027480364,20221214215315238,None,19,20,29,69,38,30,28,23
1,0,2.037472248,20221214215315248,None,19,20,29,69,38,30,28,23
2,0,2.047472715,20221214215315258,None,20,19,29,66,38,29,30,23
3,0,2.057464838,20221214215315268,None,20,19,29,66,38,29,30,23
4,0,2.067456484,20221214215315278,None,20,21,28,72,38,30,29,22
5,0,2.077476024,20221214215315288,None,20,21,28,72,38,30,29,22
6,0,2.087459802,20221214215315298,None,21,22,28,73,38,26,28,24
7,0,2.097455978,20221214215315308,None,21,22,28,73,38,26,28,24
8,0,2.10748291,20221214215315318,None,21,23,30,71,38,29,24,23
9,0,2.117483616,20221214215315328,None,21,23,30,71,38,29,24,23
10,0,2.127518415,20221214215315338,None,23,22,28,68,33,27,25,23
11,0,2.137615204,20221214215315348,None,23,22,28,68,33,27,25,23
12,0,2.147609234,20221214215315358,None,23,23,25,76,33,26,22,22
13,0,2.157922029,20221214215315369,None,23,23,25,76,33,26,22,22
14,0,2.167627573,20221214215315378,None,23,23,25,76,33,26,22,22
15,0,2.177735567,20221214215315388,None,22,22,25,72,31,25,22,27
16,0,2.187763929,20221214215315398,None,22,22,25,72,31,25,22,27
17,0,2.197821855,20221214215315408,None,21,22,26,76,36,25,21,25
18,0,2.207738399,20221214215315418,None,21,20,26,68,37,25,22,26
19,0,2.217797756,20221214215315428,None,21,20,26,68,37,25,22,26
20,0,2.227839231,20221214215315438,None,18,23,24,68,34,28,23,25
21,0,2.237660646,20221214215315448,None,18,23,24,68,34,28,23,25
22,0,2.247531652,20221214215315458,None,20,24,28,91,42,30,24,26
23,0,2.257829904,20221214215315468,None,20,24,28,91,42,30,24,26
24,0,2.267616272,20221214215315478,None,19,22,28,91,45,29,24,21
25,0,2.277738094,20221214215315488,None,19,22,28,91,45,29,24,21
26,0,2.287572861,20221214215315498,None,17,23,26,87,41,30,26,20
27,0,2.297641754,20221214215315508,None,17,23,26,87,41,30,26,20
28,0,2.307744741,20221214215315518,None,19,23,26,88,40,26,26,20
29,0,2.317517519,20221214215315528,None,19,23,26,88,40,26,26,20
30,0,2.327600241,20221214215315538,None,19,23,26,88,40,26,26,20
31,0,2.337819099,20221214215315548,None,20,23,27,85,42,24,24,22
32,0,2.347629785,20221214215315558,None,20,21,23,48,35,23,25,23
33,0,2.357635259,20221214215315568,None,20,21,23,48,35,23,25,23
34,0,2.367507458,20221214215315578,None,22,23,22,56,32,23,24,23
35,0,2.377981186,20221214215315589,None,22,23,22,56,32,23,24,23
36,0,2.387629747,20221214215315598,None,25,22,24,54,34,21,26,26
37,0,2.397871733,20221214215315609,None,25,22,24,54,34,21,26,26
38,0,2.407584667,20221214215315618,None,23,22,27,59,32,20,28,28
39,0,2.417650461,20221214215315628,None,23,22,27,59,32,20,28,28
40,0,2.427479029,20221214215315638,None,22,21,26,68,34,22,27,29
41,0,2.437525511,20221214215315648,None,22,21,26,68,34,22,27,29
42,0,2.447624206,20221214215315658,None,22,21,26,68,34,22,27,29
43,0,2.457889557,20221214215315669,None,22,24,28,76,37,21,27,26
44,0,2.467654466,20221214215315678,None,21,24,28,76,38,22,29,27
45,0,2.47751069,20221214215315688,None,21,24,28,76,38,22,29,27
46,0,2.487465381,20221214215315698,None,20,26,26,78,37,22,27,25
47,0,2.497509718,20221214215315708,None,20,26,26,78,37,22,27,25
48,0,2.507515192,20221214215315718,None,21,27,26,75,39,24,26,23
49,0,2.517613172,20221214215315728,None,21,27,26,75,39,24,26,23
50,0,2.527629614,20221214215315738,None,20,27,26,67,36,25,27,22
51,0,2.5375542639999997,20221214215315748,None,20,27,26,67,36,25,27,22
52,0,2.5475215909999998,20221214215315758,None,20,27,26,67,36,25,27,22
53,0,2.557887077,20221214215315769,None,21,24,24,67,33,24,26,24
54,0,2.567589521,20221214215315778,None,20,25,27,69,39,24,25,22
55,0,2.577569723,20221214215315788,None,20,25,27,69,39,24,25,22
56,0,2.587487459,20221214215315798,None,20,23,28,67,37,26,23,22
57,0,2.597501755,20221214215315808,None,20,23,28,67,37,26,23,22
58,0,2.607484579,20221214215315818,None,20,23,28,67,37,26,23,22
59,0,2.617460251,20221214215315828,None,20,21,26,64,35,25,23,22
60,0,2.62747097,20221214215315838,None,21,24,27,65,35,26,20,23
61,0,2.637467861,20221214215315848,None,21,24,27,65,35,26,20,23
62,0,2.647517204,20221214215315858,None,21,25,27,59,35,24,25,21
63,0,2.657493114,20221214215315868,None,21,25,27,59,35,24,25,21
64,0,2.667532205,20221214215315878,None,21,25,27,59,35,24,25,21
65,0,2.677525759,20221214215315888,None,22,22,28,59,28,26,25,22
66,0,2.68752718,20221214215315898,None,23,23,25,61,27,26,25,23
67,0,2.6974964139999997,20221214215315908,None,23,23,25,61,27,26,25,23
68,0,2.707475185,20221214215315918,None,21,23,24,67,30,26,25,23
69,0,2.7178683279999998,20221214215315929,None,21,23,24,67,30,26,25,23
70,0,2.727454185,20221214215315938,None,21,23,24,67,30,26,25,23
71,0,2.7375168800000003,20221214215315948,None,22,21,24,63,29,24,26,21
72,0,2.74748826,20221214215315958,None,22,21,24,63,30,26,23,25
73,0,2.757525682,20221214215315968,None,22,21,24,63,30,26,23,25
74,0,2.767517566,20221214215315978,None,21,22,22,57,31,23,25,25
75,0,2.777485847,20221214215315988,None,21,22,22,57,31,23,25,25
76,0,2.78746438,20221214215315998,None,21,22,22,57,31,23,25,25
77,0,2.797523975,20221214215316008,None,20,23,23,64,32,22,27,26
78,0,2.807526588,20221214215316018,None,21,24,25,71,35,24,28,28
79,0,2.817538976,20221214215316028,None,21,24,25,71,35,24,28,28
80,0,2.827488184,20221214215316038,None,21,23,24,71,36,23,30,28
81,0,2.837533474,20221214215316048,None,21,23,24,71,36,23,30,28
82,0,2.847478151,20221214215316058,None,21,23,24,71,36,23,30,28
83,0,2.857521772,20221214215316068,None,21,25,25,72,37,23,29,26
84,0,2.867481231,20221214215316078,None,22,24,24,70,38,23,26,26
85,0,2.877875328,20221214215316089,None,22,24,24,70,38,23,26,26
86,0,2.887554645,20221214215316098,None,22,24,24,70,38,23,26,26
87,0,2.89752388,20221214215316108,None,22,23,24,62,40,23,24,24
88,0,2.907552242,20221214215316118,None,22,23,24,62,40,23,24,24
89,0,2.9174966810000003,20221214215316128,None,23,24,25,56,35,21,22,20
90,0,2.927514791,20221214215316138,None,21,24,27,58,34,21,19,21
