,gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,2.028175831,20221214200222527,None,22,21,21,19,21,20,25,29
1,0,2.038185596,20221214200222537,None,22,24,22,20,21,21,23,29
2,0,2.048218489,20221214200222547,None,22,24,22,20,21,21,23,29
3,0,2.058212757,20221214200222557,None,22,28,25,19,21,22,25,30
4,0,2.068175316,20221214200222567,None,22,28,25,19,21,22,25,30
5,0,2.078171968,20221214200222577,None,24,26,24,17,21,21,21,29
6,0,2.088163853,20221214200222587,None,24,26,24,17,21,21,21,29
7,0,2.098297119,20221214200222598,None,23,26,22,17,21,23,22,25
8,0,2.108394146,20221214200222608,None,23,26,22,17,21,23,22,25
9,0,2.118241072,20221214200222617,None,20,27,22,18,22,22,22,24
10,0,2.128281593,20221214200222627,None,20,27,22,18,22,22,22,24
11,0,2.138320446,20221214200222638,None,22,27,20,18,20,21,25,24
12,0,2.148600817,20221214200222648,None,22,27,20,18,20,21,25,24
13,0,2.158358812,20221214200222658,None,22,23,17,20,20,21,25,23
14,0,2.168578863,20221214200222668,None,22,23,17,20,20,21,25,23
15,0,2.178264379,20221214200222677,None,23,24,17,20,19,23,29,24
16,0,2.1887011530000002,20221214200222688,None,23,24,17,20,19,23,29,24
17,0,2.198375225,20221214200222698,None,22,26,18,22,20,23,33,25
18,0,2.208844423,20221214200222708,None,22,26,18,22,20,23,33,25
19,0,2.218612432,20221214200222718,None,25,26,18,22,20,24,36,24
20,0,2.2285821439999998,20221214200222728,None,25,26,18,22,20,24,36,24
21,0,2.23824954,20221214200222737,None,24,26,21,20,20,24,56,29
22,0,2.248232841,20221214200222747,None,24,26,21,20,20,24,56,29
23,0,2.258202314,20221214200222757,None,24,28,22,20,20,24,58,32
24,0,2.268548012,20221214200222768,None,24,28,22,20,20,24,58,32
25,0,2.278311729,20221214200222778,None,21,27,22,21,22,22,58,35
26,0,2.2885587210000002,20221214200222788,None,21,27,22,21,22,22,58,35
27,0,2.298645258,20221214200222798,None,22,25,24,21,23,21,56,34
28,0,2.308524608,20221214200222808,None,22,25,24,21,23,21,56,34
29,0,2.318209886,20221214200222817,None,23,28,23,21,24,19,56,34
30,0,2.328469992,20221214200222828,None,23,28,23,21,24,19,56,34
31,0,2.338273764,20221214200222837,None,22,27,23,24,24,22,37,31
32,0,2.348735571,20221214200222848,None,22,27,23,24,24,22,37,31
33,0,2.358692407,20221214200222858,None,23,26,24,23,24,21,35,29
34,0,2.368637562,20221214200222868,None,23,26,24,23,24,21,35,29
35,0,2.378242016,20221214200222877,None,23,29,23,22,23,22,33,24
36,0,2.388219356,20221214200222887,None,23,29,23,22,23,22,33,24
37,0,2.398314237,20221214200222898,None,24,31,22,24,21,22,35,27
38,0,2.408540487,20221214200222908,None,24,31,22,24,21,22,35,27
39,0,2.41834259,20221214200222918,None,23,28,24,25,19,23,37,29
40,0,2.428341627,20221214200222928,None,23,28,24,25,19,23,37,29
41,0,2.43834281,20221214200222938,None,24,31,25,23,20,20,37,28
42,0,2.448549747,20221214200222948,None,24,31,25,23,20,20,37,28
43,0,2.458333015,20221214200222958,None,22,30,22,24,20,22,35,26
44,0,2.468619823,20221214200222968,None,22,30,22,24,20,22,35,26
45,0,2.479203462,20221214200222978,None,22,27,24,24,23,21,34,28
46,0,2.488910913,20221214200222988,None,22,27,24,24,23,21,34,28
47,0,2.498253107,20221214200222997,None,21,27,26,19,23,22,33,27
48,0,2.508544922,20221214200223008,None,21,27,26,19,23,22,33,27
49,0,2.518323421,20221214200223018,None,22,26,25,18,24,22,26,26
50,0,2.528296709,20221214200223028,None,22,26,25,18,24,22,26,26
51,0,2.538229704,20221214200223037,None,21,25,23,19,23,22,28,26
52,0,2.548707723,20221214200223048,None,21,25,23,19,23,22,28,26
53,0,2.558243275,20221214200223057,None,21,24,24,19,25,21,31,28
54,0,2.568686724,20221214200223068,None,21,24,24,19,25,21,31,28
55,0,2.578230142,20221214200223077,None,21,25,23,18,24,22,33,28
56,0,2.588336468,20221214200223088,None,21,25,23,18,24,22,33,28
57,0,2.598604917,20221214200223098,None,21,25,23,20,24,21,33,27
58,0,2.6085834500000002,20221214200223108,None,21,25,23,20,24,21,33,27
59,0,2.618824959,20221214200223118,None,21,25,23,20,24,21,33,27
60,0,2.628250837,20221214200223127,None,21,25,22,20,22,21,32,28
61,0,2.638555527,20221214200223138,None,22,22,23,19,22,19,29,28
62,0,2.648337602,20221214200223148,None,22,22,23,19,22,19,29,28
63,0,2.658224106,20221214200223157,None,23,23,23,19,20,20,28,31
64,0,2.668309688,20221214200223168,None,23,23,23,19,20,20,28,31
65,0,2.678356886,20221214200223178,None,23,23,23,19,20,20,28,31
66,0,2.688176155,20221214200223187,None,24,23,24,21,17,20,40,32
67,0,2.698223352,20221214200223197,None,24,24,22,22,20,19,42,34
68,0,2.70852232,20221214200223208,None,24,24,22,22,20,19,42,34
69,0,2.7181952000000003,20221214200223217,None,23,24,22,22,21,19,42,32
70,0,2.728339672,20221214200223228,None,23,24,22,22,21,19,42,32
71,0,2.7381756299999997,20221214200223237,None,23,24,22,22,21,19,42,32
72,0,2.748646021,20221214200223248,None,22,25,21,23,20,20,43,31
73,0,2.758385897,20221214200223258,None,22,24,21,24,20,20,44,27
74,0,2.768609285,20221214200223268,None,22,24,21,24,20,20,44,27
75,0,2.778258085,20221214200223277,None,23,24,18,24,23,19,36,27
76,0,2.788271904,20221214200223287,None,23,24,18,24,23,19,36,27
77,0,2.798377275,20221214200223298,None,23,24,18,24,23,19,36,27
78,0,2.808339119,20221214200223308,None,22,22,18,23,21,19,36,24
79,0,2.818232536,20221214200223317,None,25,24,17,23,21,18,43,26
80,0,2.82854867,20221214200223328,None,25,24,17,23,21,18,43,26
81,0,2.838392019,20221214200223338,None,25,24,17,23,21,18,43,26
82,0,2.848273754,20221214200223347,None,26,23,18,22,22,19,41,27
83,0,2.858263731,20221214200223357,None,26,23,18,22,22,19,41,27
84,0,2.868200064,20221214200223367,None,28,26,18,22,24,18,41,26
85,0,2.878437042,20221214200223378,None,28,26,18,22,24,18,41,26
86,0,2.888198614,20221214200223387,None,24,24,20,20,24,18,36,24
87,0,2.898204327,20221214200223397,None,24,26,20,19,25,19,38,27
88,0,2.908318519,20221214200223408,None,24,26,20,19,25,19,38,27
89,0,2.918281078,20221214200223417,None,24,26,20,19,25,19,38,27
90,0,2.928268432,20221214200223427,None,23,25,20,20,25,20,42,27
91,0,2.938247919,20221214200223437,None,22,26,19,20,26,19,42,27
92,0,2.948297024,20221214200223448,None,22,26,19,20,26,19,42,27
93,0,2.958237171,20221214200223457,None,20,25,20,20,26,20,40,28
94,0,2.968359947,20221214200223468,None,20,25,20,20,26,20,40,28
95,0,2.978262901,20221214200223477,None,20,25,20,20,26,20,40,28
96,0,2.988227844,20221214200223487,None,23,26,19,19,23,20,42,28
97,0,2.998401403,20221214200223498,None,23,26,19,19,23,20,42,28
98,0,3.008293867,20221214200223508,None,24,24,19,19,21,19,40,28
