,gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,2.027904033,20221214195157443,None,22,25,56,74,27,22,20,22
1,0,2.037916183,20221214195157453,None,22,25,56,74,27,22,20,22
2,0,2.04792118,20221214195157463,None,23,29,60,77,24,23,19,24
3,0,2.0579741,20221214195157473,None,23,29,60,77,24,23,19,24
4,0,2.06798768,20221214195157483,None,23,29,60,77,24,23,19,24
5,0,2.077901125,20221214195157493,None,23,31,66,80,27,24,18,24
6,0,2.087966203,20221214195157503,None,21,32,69,77,28,24,18,22
7,0,2.098073721,20221214195157513,None,21,32,69,77,28,24,18,22
8,0,2.108141422,20221214195157524,None,21,32,69,77,28,24,18,22
9,0,2.118110418,20221214195157533,None,22,32,67,78,28,24,17,23
10,0,2.128266096,20221214195157544,None,22,32,67,78,28,24,17,23
11,0,2.137973308,20221214195157553,None,20,32,71,69,29,23,19,23
12,0,2.148339033,20221214195157564,None,18,29,68,72,28,22,20,22
13,0,2.158224106,20221214195157574,None,18,29,68,72,28,22,20,22
14,0,2.168095112,20221214195157583,None,21,26,67,67,26,20,21,22
15,0,2.178402424,20221214195157594,None,21,26,67,67,26,20,21,22
16,0,2.188448667,20221214195157604,None,21,26,67,67,26,20,21,22
17,0,2.19813919,20221214195157613,None,21,24,62,84,26,21,21,24
18,0,2.208348989,20221214195157624,None,20,25,67,84,27,20,23,22
19,0,2.218188524,20221214195157634,None,20,25,67,84,27,20,23,22
20,0,2.228096723,20221214195157643,None,21,29,64,86,27,21,23,21
21,0,2.238168955,20221214195157654,None,21,29,64,86,27,21,23,21
22,0,2.248309612,20221214195157664,None,21,29,64,86,27,21,23,21
23,0,2.258078575,20221214195157673,None,21,27,81,83,26,21,23,20
24,0,2.268339872,20221214195157684,None,21,27,81,83,26,21,23,20
25,0,2.278078794,20221214195157693,None,20,30,79,86,27,21,22,22
26,0,2.28811121,20221214195157703,None,20,30,79,86,27,21,22,22
27,0,2.298187256,20221214195157714,None,19,31,81,88,25,20,22,21
28,0,2.308377266,20221214195157724,None,19,31,81,88,25,20,22,21
29,0,2.318073749,20221214195157733,None,23,35,79,92,25,21,22,23
30,0,2.328001499,20221214195157743,None,23,35,79,92,25,21,22,23
31,0,2.338140726,20221214195157754,None,23,32,88,91,24,18,20,23
32,0,2.348044395,20221214195157763,None,23,32,88,91,24,18,20,23
33,0,2.3583602900000002,20221214195157774,None,24,32,77,87,26,21,22,24
34,0,2.368324041,20221214195157784,None,24,32,77,87,26,21,22,24
35,0,2.378057718,20221214195157793,None,23,29,77,99,29,21,22,22
36,0,2.3883266450000002,20221214195157804,None,23,29,77,99,29,21,22,22
37,0,2.39826107,20221214195157814,None,24,28,74,98,36,22,23,23
38,0,2.407986641,20221214195157823,None,24,28,74,98,36,22,23,23
39,0,2.418206453,20221214195157834,None,25,24,84,91,34,21,22,22
40,0,2.427974224,20221214195157843,None,25,24,84,91,34,21,22,22
41,0,2.438104152,20221214195157853,None,25,25,80,93,34,21,23,22
42,0,2.448344707,20221214195157864,None,25,25,80,93,34,21,23,22
43,0,2.458177566,20221214195157874,None,24,25,78,95,34,19,23,21
44,0,2.46800375,20221214195157883,None,24,25,78,95,34,19,23,21
45,0,2.478060245,20221214195157893,None,23,25,77,84,31,20,23,21
46,0,2.488218069,20221214195157904,None,23,25,77,84,31,20,23,21
47,0,2.498049974,20221214195157913,None,24,23,80,85,27,22,22,20
48,0,2.508253336,20221214195157924,None,24,23,80,85,27,22,22,20
49,0,2.5181324480000002,20221214195157933,None,22,19,88,97,31,24,22,21
50,0,2.528296947,20221214195157944,None,22,19,88,97,31,24,22,21
51,0,2.538158655,20221214195157954,None,19,24,94,99,32,26,24,21
52,0,2.548239231,20221214195157964,None,19,24,94,99,32,26,24,21
53,0,2.558172226,20221214195157974,None,19,31,95,96,31,26,24,21
54,0,2.568364858,20221214195157984,None,19,31,95,96,31,26,24,21
55,0,2.578152418,20221214195157994,None,19,31,95,96,31,26,24,21
56,0,2.588006258,20221214195158003,None,19,31,95,84,28,24,23,24
57,0,2.598042726,20221214195158013,None,19,31,95,84,28,24,23,24
58,0,2.608383894,20221214195158024,None,19,31,95,84,28,24,23,24
59,0,2.6180748940000003,20221214195158033,None,17,33,90,81,28,21,25,23
